,occurTime,age,occupation,isRock,occurMonth
269,9,10,2,1,2
270,10,40,4,1,2
271,17,10,2,1,5
272,17,10,2,1,6
273,13,10,2,1,8
274,18,30,4,1,10
275,10,40,4,1,1
276,18,10,2,1,7
277,18,10,2,1,3
278,19,10,3,1,4
279,19,10,2,1,8
280,19,10,2,1,10
281,16,10,2,1,11
282,20,10,2,1,11
284,7,10,2,1,9
285,22,10,4,1,8
286,6,20,3,1,2
287,19,20,4,1,3
288,17,20,3,1,4
289,22,20,3,1,5
290,15,10,2,1,9
291,17,20,3,1,10
292,13,10,2,1,3
293,19,20,4,1,9
294,18,20,3,1,12
295,9,20,3,1,5
296,20,10,2,1,1
297,19,20,3,1,2
298,9,20,4,1,2
299,16,10,2,1,3
300,17,20,3,1,4
301,19,10,2,1,4
302,17,20,4,1,4
303,16,20,4,1,5
304,15,40,4,1,6
305,16,50,4,1,7
306,11,10,2,1,8
307,8,10,2,1,10
308,16,20,3,1,8
309,18,20,3,1,10
310,9,40,4,1,11
311,1,20,4,1,5
312,18,20,4,1,7
313,17,10,4,1,8
314,13,10,2,1,10
316,21,30,4,1,9
317,7,10,0,1,10
318,7,50,4,1,10
319,18,10,1,1,12
320,9,70,4,1,12
321,16,10,3,1,8
322,21,20,4,1,10
323,17,10,2,1,12
324,18,30,4,1,12
325,16,10,1,1,3
326,17,60,4,1,11
327,18,20,4,1,9
328,20,40,4,1,11
329,9,40,4,1,11
330,6,10,2,1,1
331,8,40,4,1,12
332,16,10,2,1,3
333,22,20,4,1,6
335,17,10,2,1,2
336,6,10,2,1,5
337,7,10,2,1,8
338,11,70,4,1,7
339,8,20,4,1,7
340,18,10,1,1,10
341,10,10,2,1,6
342,10,20,3,1,9
343,2,10,3,1,9
344,20,50,4,1,6
345,11,30,4,1,6
346,18,30,4,1,3
347,23,50,4,1,4
348,16,10,2,1,4
349,23,20,4,1,6
350,12,20,3,1,3
351,1,20,3,1,7
352,20,10,1,1,10
353,8,10,4,1,7
354,17,40,4,1,5
355,15,10,4,1,3
356,7,10,2,1,4
357,7,10,2,1,5
358,19,10,2,1,7
359,8,20,3,1,9
360,8,10,2,1,11
361,13,10,2,1,2
362,8,30,4,1,10
363,7,10,1,1,2
364,7,10,2,1,1
365,21,10,2,1,6
366,22,10,2,1,7
367,10,20,4,1,9
368,10,60,4,1,12
369,17,10,2,1,12
370,18,10,2,1,4
371,17,60,4,1,5
372,17,70,4,1,5
373,7,10,3,1,5
374,8,30,4,1,7
375,20,10,2,1,10
376,8,10,2,1,11
377,22,40,4,1,4
378,17,10,2,1,5
379,7,10,2,1,6
380,20,10,2,1,6
381,7,10,2,1,9
382,16,10,3,1,7
383,18,70,4,1,7
384,11,50,4,1,8
385,18,10,2,1,2
386,8,40,4,1,5
387,13,20,4,1,9
388,7,10,2,1,1
389,6,10,1,1,1
390,7,10,2,1,6
391,16,10,2,1,9
392,0,40,4,1,2
393,8,10,2,1,10
394,7,10,3,1,10
395,6,10,2,1,1
396,9,10,2,1,9
397,8,10,2,1,2
398,14,10,2,1,3
399,15,10,2,1,8
400,6,10,2,1,7
401,9,10,2,1,3
402,17,10,1,1,11
403,18,70,4,1,8
404,10,20,4,1,3
405,7,10,2,1,10
406,15,20,4,1,2
407,8,50,4,1,5
408,10,40,4,1,8
409,7,10,2,1,2
410,16,30,4,1,4
412,7,10,2,1,5
413,7,60,4,1,5
