,occurTime,age,occupation,isRock,occurMonth,mahal
57,9,20,4,1,12,6.582115400420604
58,19,20,4,1,5,6.497924943361175
59,8,20,3,1,7,5.008126212936032
60,21,70,4,1,11,50.92614938504226
61,13,10,2,1,3,10.703289703912745
62,9,20,4,1,5,4.608456723662901
63,19,20,4,1,11,7.42658755140099
64,15,60,4,1,3,40.368499366711205
65,7,10,2,1,9,11.785605264794187
66,9,20,3,1,12,6.47733140203761
67,7,20,4,1,6,6.180294330875267
68,12,60,4,1,1,40.57104636558485
69,0,30,4,1,9,16.613136606968055
70,0,50,4,1,7,32.7983917220755
71,12,10,2,1,1,11.625467887499989
72,8,20,4,1,5,5.489932408901374
73,12,10,2,1,3,10.745319677250949
74,8,20,4,1,4,5.914741090934934
75,16,10,2,1,5,10.590861551715799
76,18,10,2,1,6,11.203507269076935
77,8,10,2,1,10,11.53924619109169
78,17,40,4,1,10,20.78101438654831
79,13,20,4,1,6,1.6694703152970036
80,7,10,2,1,4,11.963465762478158
81,13,30,4,1,7,10.196402223978078
82,10,10,3,1,9,10.562407825343637
83,16,10,2,1,11,11.184700375811628
84,9,20,4,1,1,7.253763895235902
85,13,50,4,1,10,30.28994533427934
86,8,10,2,1,8,11.173352732980426
87,19,10,4,1,6,11.719809416244408
88,21,10,2,1,7,12.805050463331867
89,16,50,4,1,4,30.42770383751075
90,21,40,4,1,8,21.724047266777372
91,21,60,4,1,6,40.93497796850642
92,8,10,2,1,1,12.599898472806075
93,16,10,2,1,4,10.817169349053406
94,8,10,4,1,7,11.154615982603472
95,17,10,2,1,8,10.804186733471175
96,8,10,2,1,5,11.286196181666645
97,0,10,2,1,6,16.362924426154176
98,16,10,2,1,6,10.455694337973133
99,9,20,3,1,10,5.064131784304153
100,18,10,2,1,11,11.88673855756141
101,8,10,2,1,12,12.225571316778902
102,7,10,2,1,5,11.759239292211829
103,7,10,1,1,11,12.403324625596793
104,13,10,2,1,3,10.703289703912745
105,7,30,4,1,12,12.851128495322639
106,14,10,1,1,3,10.876143845721293
107,17,30,4,1,9,11.16562007926298
108,13,10,2,1,9,10.173081370703441
109,20,10,2,1,4,12.546123497095552
110,13,10,4,1,8,10.053518339303166
111,19,10,2,1,11,12.344758768618577
112,15,10,2,1,8,10.224158641794357
113,8,50,4,1,11,30.80817109854627
114,7,20,4,1,11,7.346564940419864
115,7,20,4,1,3,7.261573587846821
116,7,10,2,1,9,11.785605264794187
117,7,10,2,1,6,11.637650296043873
118,23,10,2,1,3,14.681470147146916
119,0,10,1,1,3,16.879315379447917
120,9,40,4,1,8,20.56093488668158
121,8,20,4,1,9,5.546182523173171
122,8,20,4,1,1,7.843377788189204
123,8,10,2,1,5,11.286196181666645
124,11,30,4,1,9,10.58678320534768
